Sample:float,Data:float
"576.0","5810.0"
"577.0","4940.0"
"578.0","4074.0"
"579.0","3214.0"
"580.0","2364.0"
"581.0","1512.0"
"582.0","698.0"
"583.0","-110.0"
"584.0","-898.0"
"585.0","-1660.0"
"586.0","-2390.0"
"587.0","-3088.0"
"588.0","-3758.0"
"589.0","-4382.0"
"590.0","-4996.0"
"591.0","-5534.0"
"592.0","-6034.0"
"593.0","-6492.0"
"594.0","-6894.0"
"595.0","-7246.0"
"596.0","-7548.0"
"597.0","-7798.0"
"598.0","-7982.0"
"599.0","-8132.0"
"600.0","-8210.0"
"601.0","-8226.0"
"602.0","-8186.0"
"603.0","-8106.0"
"604.0","-7968.0"
"605.0","-7778.0"
"606.0","-7520.0"
"607.0","-7216.0"
"608.0","-6858.0"
"609.0","-6466.0"
"610.0","-6000.0"
"611.0","-5488.0"
"612.0","-4934.0"
"613.0","-4332.0"
"614.0","-3708.0"
"615.0","-3040.0"
"616.0","-2324.0"
"617.0","-1596.0"
"618.0","-844.0"
"619.0","-46.0"
"620.0","762.0"
"621.0","1584.0"
"622.0","2438.0"
"623.0","3270.0"
"624.0","4136.0"
"625.0","4988.0"
"626.0","5850.0"
"627.0","6706.0"
"628.0","7538.0"
"629.0","8370.0"
"630.0","9206.0"
"631.0","10000.0"
"632.0","10764.0"
"633.0","11502.0"
"634.0","12238.0"
"635.0","12934.0"
"636.0","13596.0"
"637.0","14212.0"
"638.0","14788.0"
"639.0","15320.0"
"640.0","15812.0"
"641.0","16256.0"
"642.0","16656.0"
"643.0","16992.0"
"644.0","17280.0"
"645.0","17524.0"
"646.0","17698.0"
"647.0","17822.0"
"648.0","17900.0"
"649.0","17920.0"
"650.0","17884.0"
"651.0","17782.0"
"652.0","17624.0"
"653.0","17412.0"
"654.0","17154.0"
"655.0","16836.0"
"656.0","16466.0"
"657.0","16054.0"
"658.0","15584.0"
"659.0","15078.0"
"660.0","14514.0"
"661.0","13912.0"
"662.0","13278.0"
"663.0","12604.0"
"664.0","11890.0"
"665.0","11148.0"
"666.0","10380.0"
"667.0","9576.0"
"668.0","8758.0"
"669.0","7924.0"
"670.0","7084.0"
"671.0","6222.0"
"672.0","5360.0"
"673.0","4502.0"
"674.0","3626.0"
"675.0","2756.0"
"676.0","1916.0"
"677.0","1072.0"
"678.0","240.0"
"679.0","-532.0"
"680.0","-1310.0"
"681.0","-2072.0"
"682.0","-2788.0"
"683.0","-3468.0"
"684.0","-4120.0"
"685.0","-4760.0"
"686.0","-5348.0"
"687.0","-5906.0"
"688.0","-6406.0"
