Sample:float,Data:float
"576.0","6777.0"
"577.0","7084.0"
"578.0","7364.0"
"579.0","7626.0"
"580.0","7869.0"
"581.0","8092.0"
"582.0","8291.0"
"583.0","8455.0"
"584.0","8598.0"
"585.0","8714.0"
"586.0","8804.0"
"587.0","8871.0"
"588.0","8906.0"
"589.0","8910.0"
"590.0","8891.0"
"591.0","8840.0"
"592.0","8767.0"
"593.0","8668.0"
"594.0","8534.0"
"595.0","8380.0"
"596.0","8198.0"
"597.0","7988.0"
"598.0","7753.0"
"599.0","7508.0"
"600.0","7231.0"
"601.0","6936.0"
"602.0","6620.0"
"603.0","6286.0"
"604.0","5931.0"
"605.0","5565.0"
"606.0","5191.0"
"607.0","4796.0"
"608.0","4388.0"
"609.0","3976.0"
"610.0","3564.0"
"611.0","3140.0"
"612.0","2713.0"
"613.0","2284.0"
"614.0","1859.0"
"615.0","1431.0"
"616.0","1009.0"
"617.0","594.0"
"618.0","180.0"
"619.0","-221.0"
"620.0","-608.0"
"621.0","-980.0"
"622.0","-1345.0"
"623.0","-1694.0"
"624.0","-2021.0"
"625.0","-2334.0"
"626.0","-2623.0"
"627.0","-2897.0"
"628.0","-3140.0"
"629.0","-3363.0"
"630.0","-3565.0"
"631.0","-3736.0"
"632.0","-3881.0"
"633.0","-3993.0"
"634.0","-4087.0"
"635.0","-4157.0"
"636.0","-4194.0"
"637.0","-4206.0"
"638.0","-4186.0"
"639.0","-4147.0"
"640.0","-4081.0"
"641.0","-3982.0"
"642.0","-3850.0"
"643.0","-3697.0"
"644.0","-3524.0"
"645.0","-3317.0"
"646.0","-3091.0"
"647.0","-2847.0"
"648.0","-2572.0"
"649.0","-2277.0"
"650.0","-1972.0"
"651.0","-1648.0"
"652.0","-1301.0"
"653.0","-937.0"
"654.0","-560.0"
"655.0","-174.0"
"656.0","216.0"
"657.0","628.0"
"658.0","1043.0"
"659.0","1457.0"
"660.0","1882.0"
"661.0","2306.0"
"662.0","2726.0"
"663.0","3152.0"
"664.0","3563.0"
"665.0","3974.0"
"666.0","4380.0"
"667.0","4777.0"
"668.0","6149.0"
"669.0","6018.0"
"670.0","5870.0"
"671.0","5707.0"
"672.0","5500.0"
"673.0","5274.0"
"674.0","5024.0"
"675.0","4756.0"
"676.0","4476.0"
"677.0","4167.0"
"678.0","3831.0"
"679.0","3483.0"
"680.0","3123.0"
"681.0","2753.0"
"682.0","2371.0"
"683.0","1973.0"
"684.0","1559.0"
"685.0","1144.0"
"686.0","727.0"
"687.0","307.0"
"688.0","-121.0"
"689.0","-549.0"
"690.0","-973.0"
"691.0","-1393.0"
"692.0","-1806.0"
"693.0","-2219.0"
"694.0","-2612.0"
"695.0","-2996.0"
"696.0","-3375.0"
"697.0","-3741.0"
"698.0","-4092.0"
"699.0","-4419.0"
"700.0","-4729.0"
"701.0","-5017.0"
"702.0","-5293.0"
"703.0","-5542.0"
"704.0","-5758.0"
"705.0","-5964.0"
"706.0","-6145.0"
"707.0","-6295.0"
"708.0","-6424.0"
"709.0","-6520.0"
"710.0","-6588.0"
"711.0","-6630.0"
"712.0","-6657.0"
"713.0","-6639.0"
"714.0","-6597.0"
"715.0","-6529.0"
"716.0","-6438.0"
"717.0","-6323.0"
"718.0","-6169.0"
"719.0","-5996.0"
"720.0","-5797.0"
"721.0","-5567.0"
"722.0","-5316.0"
"723.0","-5041.0"
"724.0","-4749.0"
"725.0","-4447.0"
"726.0","-4119.0"
"727.0","-3770.0"
"728.0","-3412.0"
"729.0","-3034.0"
"730.0","-2645.0"
"731.0","-2247.0"
"732.0","-1843.0"
"733.0","-1429.0"
"734.0","-1011.0"
"735.0","-584.0"
"736.0","-160.0"
"737.0","255.0"
"738.0","685.0"
"739.0","1110.0"
"740.0","1519.0"
"741.0","1923.0"
"742.0","2321.0"
"743.0","2715.0"
"744.0","3088.0"
"745.0","3447.0"
"746.0","3799.0"
"747.0","4123.0"
"748.0","4441.0"
"749.0","4732.0"
"750.0","4998.0"
"751.0","5248.0"
"752.0","5472.0"
"753.0","5677.0"
"754.0","5854.0"
"755.0","6005.0"
"756.0","6130.0"
"757.0","6225.0"
"758.0","6304.0"
"759.0","6338.0"
"760.0","6353.0"
"761.0","6347.0"
"762.0","6302.0"
"763.0","6235.0"
"764.0","6139.0"
"765.0","6022.0"
"766.0","5870.0"
"767.0","5698.0"
"768.0","5499.0"
"769.0","5270.0"
"770.0","5027.0"
"771.0","4761.0"
"772.0","4473.0"
"773.0","4154.0"
