Sample:float,Data:float
"0.0","5810.0"
"1.0","698.0"
"2.0","-3758.0"
"3.0","-6894.0"
"4.0","-8210.0"
"5.0","-7520.0"
"6.0","-4934.0"
"7.0","-844.0"
"8.0","4136.0"
"9.0","9206.0"
"10.0","13596.0"
"11.0","16656.0"
"12.0","17900.0"
"13.0","17154.0"
"14.0","14514.0"
"15.0","10380.0"
"16.0","5360.0"
"17.0","240.0"
"18.0","-4120.0"
"19.0","-7258.0"
"20.0","-8440.0"
"21.0","-7802.0"
"22.0","-5204.0"
"23.0","-1076.0"
"24.0","3610.0"
"25.0","9398.0"
"26.0","11298.0"
"27.0","7630.0"
"28.0","3150.0"
"29.0","-1902.0"
"30.0","-6816.0"
"31.0","-10586.0"
"32.0","-12946.0"
"33.0","-13280.0"
"34.0","-11702.0"
"35.0","-8324.0"
"36.0","-3724.0"
"37.0","1392.0"
"38.0","6258.0"
"39.0","10142.0"
"40.0","12428.0"
"41.0","12778.0"
"42.0","11140.0"
"43.0","7748.0"
"44.0","3164.0"
"45.0","-1978.0"
"46.0","-6844.0"
"47.0","-10710.0"
"48.0","-12974.0"
"49.0","-13326.0"
"50.0","-11720.0"
"51.0","-8336.0"
"52.0","-3738.0"
"53.0","1390.0"
"54.0","6268.0"
"55.0","10146.0"
"56.0","12420.0"
"57.0","12772.0"
"58.0","11128.0"
"59.0","7734.0"
"60.0","3172.0"
"61.0","-1946.0"
"62.0","-6816.0"
"63.0","-10696.0"
"64.0","-12996.0"
"65.0","-13338.0"
"66.0","-11714.0"
"67.0","-8328.0"
"68.0","-3744.0"
"69.0","1384.0"
"70.0","6246.0"
"71.0","10116.0"
"72.0","12402.0"
"73.0","12784.0"
"74.0","11144.0"
"75.0","7754.0"
"76.0","3170.0"
"77.0","-1960.0"
"78.0","-6818.0"
"79.0","-10700.0"
"80.0","-12986.0"
"81.0","-13338.0"
"82.0","-11722.0"
"83.0","-8342.0"
"84.0","-3770.0"
"85.0","1378.0"
"86.0","6264.0"
"87.0","10148.0"
"88.0","12428.0"
"89.0","12772.0"
"90.0","11136.0"
"91.0","7754.0"
"92.0","3172.0"
"93.0","-1954.0"
"94.0","-6824.0"
"95.0","-10704.0"
