Sample:float,Data:float
"256.0","-515.0"
"257.0","-820.0"
"258.0","-1077.0"
"259.0","-1270.0"
"260.0","-1419.0"
"261.0","-1419.0"
"262.0","-1373.0"
"263.0","-1239.0"
"264.0","-1035.0"
"265.0","-763.0"
"266.0","-445.0"
"267.0","-126.0"
"268.0","202.0"
"269.0","505.0"
"270.0","766.0"
"271.0","965.0"
"272.0","1084.0"
"273.0","1118.0"
"274.0","1064.0"
"275.0","932.0"
"276.0","722.0"
"277.0","454.0"
"278.0","142.0"
"279.0","-188.0"
"280.0","-513.0"
"281.0","-819.0"
"282.0","-1081.0"
"283.0","-1274.0"
"284.0","-1386.0"
"285.0","-1421.0"
"286.0","-1374.0"
"287.0","-1231.0"
"288.0","-1041.0"
"289.0","-790.0"
"290.0","-473.0"
"291.0","-144.0"
"292.0","186.0"
"293.0","471.0"
"294.0","723.0"
"295.0","923.0"
"296.0","1042.0"
"297.0","1077.0"
"298.0","1038.0"
"299.0","915.0"
"300.0","711.0"
"301.0","446.0"
"302.0","142.0"
"303.0","-190.0"
"304.0","-519.0"
"305.0","-817.0"
"306.0","-1076.0"
"307.0","-1271.0"
"308.0","-1426.0"
"309.0","-1426.0"
"310.0","-1373.0"
"311.0","-1237.0"
"312.0","-1027.0"
"313.0","-761.0"
"314.0","-454.0"
"315.0","-121.0"
"316.0","205.0"
"317.0","507.0"
"318.0","762.0"
"319.0","962.0"
"320.0","1082.0"
"321.0","1113.0"
"322.0","1062.0"
"323.0","928.0"
"324.0","726.0"
"325.0","455.0"
"326.0","145.0"
"327.0","-185.0"
"328.0","-512.0"
"329.0","-810.0"
"330.0","-1076.0"
"331.0","-1273.0"
"332.0","-1382.0"
"333.0","-1427.0"
"334.0","-1377.0"
"335.0","-1237.0"
"336.0","-1029.0"
"337.0","-762.0"
"338.0","-452.0"
"339.0","-122.0"
"340.0","205.0"
"341.0","509.0"
"342.0","768.0"
"343.0","963.0"
"344.0","1078.0"
"345.0","1115.0"
"346.0","1065.0"
"347.0","929.0"
"348.0","725.0"
"349.0","454.0"
"350.0","141.0"
"351.0","-184.0"
"352.0","-511.0"
"353.0","-814.0"
"354.0","-1076.0"
"355.0","-1271.0"
"356.0","-1425.0"
"357.0","-1425.0"
"358.0","-1372.0"
"359.0","-1240.0"
"360.0","-1036.0"
"361.0","-763.0"
"362.0","-448.0"
"363.0","-122.0"
"364.0","192.0"
"365.0","487.0"
"366.0","745.0"
"367.0","938.0"
"368.0","1066.0"
"369.0","1088.0"
"370.0","1021.0"
"371.0","891.0"
"372.0","684.0"
"373.0","416.0"
"374.0","120.0"
"375.0","-203.0"
"376.0","-527.0"
"377.0","-826.0"
"378.0","-1084.0"
"379.0","-1269.0"
"380.0","-1390.0"
"381.0","-1425.0"
"382.0","-1375.0"
"383.0","-1239.0"
"384.0","-1245.0"
"385.0","-1047.0"
"386.0","-783.0"
"387.0","-469.0"
"388.0","-146.0"
"389.0","182.0"
"390.0","490.0"
"391.0","750.0"
"392.0","952.0"
"393.0","1076.0"
"394.0","1117.0"
"395.0","1076.0"
"396.0","946.0"
"397.0","739.0"
"398.0","468.0"
"399.0","167.0"
"400.0","-159.0"
"401.0","-497.0"
"402.0","-796.0"
"403.0","-1061.0"
"404.0","-1260.0"
"405.0","-1383.0"
"406.0","-1425.0"
"407.0","-1379.0"
"408.0","-1251.0"
"409.0","-1043.0"
"410.0","-780.0"
"411.0","-471.0"
"412.0","-144.0"
"413.0","187.0"
"414.0","492.0"
"415.0","745.0"
"416.0","951.0"
"417.0","1078.0"
"418.0","1118.0"
"419.0","1073.0"
"420.0","939.0"
"421.0","737.0"
"422.0","470.0"
"423.0","165.0"
"424.0","-159.0"
"425.0","-493.0"
"426.0","-797.0"
"427.0","-1061.0"
"428.0","-1264.0"
"429.0","-1390.0"
"430.0","-1427.0"
"431.0","-1381.0"
"432.0","-1255.0"
"433.0","-1044.0"
"434.0","-778.0"
"435.0","-469.0"
"436.0","-143.0"
"437.0","178.0"
"438.0","489.0"
"439.0","752.0"
"440.0","954.0"
"441.0","1060.0"
"442.0","1087.0"
"443.0","1045.0"
"444.0","917.0"
"445.0","718.0"
"446.0","439.0"
"447.0","123.0"
"448.0","-204.0"
"449.0","-529.0"
"450.0","-830.0"
"451.0","-1085.0"
"452.0","-1276.0"
"453.0","-1399.0"
"454.0","-1430.0"
"455.0","-1382.0"
"456.0","-1250.0"
"457.0","-1044.0"
"458.0","-780.0"
"459.0","-472.0"
"460.0","-148.0"
"461.0","182.0"
"462.0","488.0"
"463.0","754.0"
"464.0","953.0"
"465.0","1073.0"
"466.0","1119.0"
"467.0","1070.0"
"468.0","944.0"
"469.0","739.0"
"470.0","471.0"
"471.0","165.0"
"472.0","-169.0"
"473.0","-491.0"
"474.0","-795.0"
"475.0","-1056.0"
"476.0","-1257.0"
"477.0","-1384.0"
"478.0","-1427.0"
"479.0","-1384.0"
"480.0","-1250.0"
"481.0","-1046.0"
"482.0","-777.0"
"483.0","-474.0"
"484.0","-152.0"
"485.0","184.0"
"486.0","494.0"
"487.0","751.0"
"488.0","943.0"
"489.0","1075.0"
"490.0","1123.0"
"491.0","1072.0"
"492.0","943.0"
"493.0","739.0"
"494.0","472.0"
"495.0","166.0"
"496.0","-164.0"
"497.0","-490.0"
"498.0","-800.0"
"499.0","-1062.0"
"500.0","-1259.0"
"501.0","-1386.0"
"502.0","-1421.0"
"503.0","-1376.0"
"504.0","-1254.0"
"505.0","-1044.0"
"506.0","-777.0"
"507.0","-472.0"
"508.0","-146.0"
"509.0","184.0"
"510.0","491.0"
"511.0","747.0"
